state/action,"(0, 0.0)","(0, 0.25)","(0, 0.5)","(0, 0.75)","(0, 1.0)","(1, 0.0)","(1, 0.25)","(1, 0.5)","(1, 0.75)","(1, 1.0)","(2, 0.0)","(2, 0.25)","(2, 0.5)","(2, 0.75)","(2, 1.0)","(3, 0.0)","(3, 0.25)","(3, 0.5)","(3, 0.75)","(3, 1.0)"
"(0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1)",137.3212544343839,0.0,15.19638134257485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.346588931416424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 4)",0.0,543.6190300594028,141.13748064146594,462.837717041508,862.3546620392287,217.1446698002504,0.0,2658.6492736895966,0.0,1108.2546989123148,134.1802339969368,1302.0430298497702,895.467871967386,837.2842830631278,0.0,20.90346706794974,429.550032200531,773.6793029735481,1184.6955911285418,3188.5263179789576
"(2, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1)",94.5598873043941,137.53857602530144,134.15356173413568,152.3859584390523,125.43354269426493,93.47217478974757,147.7164922192565,134.90966199373702,96.1661543260317,164.18721522702126,98.16666973869674,99.8445062641586,95.03965224712414,98.7188257139043,136.9866412365541,84.28547396481312,139.02203183100977,110.97324643521655,159.57539323761753,121.67551928290025
"(2, 2)",18.894344803113068,0.0,0.0,0.0,0.0,0.0,0.0,21.266539714327493,29.70808794086138,0.0,14.952350672869157,0.0,185.18348579873063,0.0,19.588120351273233,0.0,0.0,0.0,0.0,18.771435295035225
"(2, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1)",178.32352713030056,178.1844741082817,179.4791089120043,161.07417531667718,180.3746947269021,179.92750947901968,180.03845108538235,180.2715256098381,179.90376764018905,179.067295003345,168.57801997458836,173.9205886646334,175.10214213276808,173.1224144536366,177.42061787143402,180.15590132864696,176.77791666280987,178.82593103761099,179.7471101415843,156.2534219197936
"(3, 2)",152.52217823415393,114.9761797899414,142.9901705140443,97.82979450191188,155.1327774506922,100.37666441735773,143.09458818245213,76.94621335271596,99.28702106944051,197.31726516919193,117.51640178693656,91.51898526595203,92.10427952702268,99.44427756304745,110.12445911961437,149.5683879439977,91.50816978267987,108.29845215312085,119.55316350290516,122.06139683705251
"(3, 3)",0.0,0.0,0.0,0.0,26.4571394407683,0.0,0.0,31.841968424650204,0.0,0.0,0.0,0.0,0.0,19.94041502196592,0.0,0.0,0.0,0.0,205.7589020004201,0.0
"(3, 4)",0.0,0.0,0.0,0.0,0.0,0.0,136.46033372234936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.39704389734783,0.0,0.0
"(4, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 1)",133.40429774665273,145.82448249882702,148.14215707550733,116.35660200220183,106.55404414282152,185.2989956726136,181.2285633180161,150.23376263033012,138.96908246338188,225.60741978624844,176.15275605284756,95.0646218551394,156.08613480960489,117.88370485616517,152.6806297588753,153.79989153380077,142.18530392286135,141.32119234632563,187.457680858201,123.41864493206839
"(4, 2)",212.95961253607098,207.54096950557465,211.9280676463465,213.95168497395986,221.11058701913316,213.40134035675683,162.42272693266793,215.17604744589042,213.8134478084499,214.51486730365502,164.8544012109775,191.95584300468872,164.70991949461268,187.97258231430158,200.49348479596435,166.16138851442994,149.62449710564445,206.07944388776133,212.5940675784007,182.8185113786252
"(4, 3)",0.0,38.65038270316345,45.55730567114053,67.90982392585087,158.13424109254782,11.81874203090424,143.47740968724133,120.07064267584934,69.10696943557004,56.385769775161194,18.696418262102323,37.62020565555832,41.494391330488845,0.0,18.540532734142115,0.0,88.47773617411661,0.0,112.56684895355787,264.14461641938306
"(4, 4)",0.0,32.16189932122901,60.21976004507529,334.3959384661733,83.24010804091061,45.61387107903442,0.0,0.0,55.52592240004018,93.23838336445985,81.02195264945343,37.001843268555035,16.98923193338261,-0.8985433139024963,0.0,22.914393962054053,0.0,80.31844421924495,53.64800664102715,31.562749741605714
