state/action,"(0, 0.0)","(0, 0.25)","(0, 0.5)","(0, 0.75)","(0, 1.0)","(1, 0.0)","(1, 0.25)","(1, 0.5)","(1, 0.75)","(1, 1.0)","(2, 0.0)","(2, 0.25)","(2, 0.5)","(2, 0.75)","(2, 1.0)","(3, 0.0)","(3, 0.25)","(3, 0.5)","(3, 0.75)","(3, 1.0)"
"(0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1)",8.805235950479798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2948270191196802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 2)",-0.716059113479248,-0.9527394874254164,-0.39075503970502806,-0.025026395756532094,0.1027072640403859,-0.6701836430031531,0.08781234872133448,0.1666887639240352,0.0,1.87018872093197,-0.016916694938876944,-0.34496336322866317,0.04396737193395559,-0.075902466731884,-0.3009118880167616,0.42435088944511257,0.142384608976751,-0.010171910492268843,0.28603889550527717,0.036550798437507304
"(1, 3)",-1.45560628813761,-2.188785368769093,-1.625946746530986,-1.3310015847746168,-1.640759599782271,-1.7523838171043635,-1.9975022588294407,-1.3605066498377747,-1.4498710012505487,-1.2938290165491018,-1.1116429467449056,-1.0865414560026894,-1.9121997620169666,-1.0937306390990837,-1.0718901526409013,-1.0451141308871086,-1.3052883945918847,-1.2441824092533247,-1.6587775695084668,-1.040260282307143
"(1, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1)",0.0,1.907169276069746,2.487485724046181,11.665457025830918,1.2193982685876865,0.0,2.175099187793443,0.0,3.6835997039026163,5.420585213075931,2.5498434738430498,2.1796930858835935,0.0,0.9913618473901922,1.014885543806268,3.0291812417975343,1.1374296778600965,0.9481916768858444,2.014825655009112,0.0
"(2, 2)",0.24611083359710098,0.6010715936474216,0.9658206329173493,0.6049088994547035,1.0524903689873994,0.7008315225199966,-0.02825722016226212,1.0441571672655394,1.010741580953444,2.381384427911159,0.9584371154431454,0.3265446937752585,0.15412030070178168,-0.6966517391212409,-0.515182916921223,0.499980879198498,0.2682452712308032,0.030634055237844626,-0.025917540143192905,-0.39068092000690824
"(2, 3)",-2.7915053063875295,-2.5289566512618578,-2.62696899762283,-2.185790854102894,-2.230129946559772,-2.8193936058115945,-2.071582553865844,-2.075469241844532,-2.5533704385846145,-2.0691895456157323,-2.11552769681152,-2.3127546008000004,-3.043130951387562,-2.8685451794650207,-2.096450363693865,-3.227397647091857,-2.488131137165075,-2.6806448115296497,-2.048926166242091,-2.506976688225338
"(2, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1)",1.4600348186727166,0.0,0.0,0.0,1.0820591708357017,1.0667504084761985,0.0,0.0,0.0,0.0,10.980427283466788,0.0,1.7300772420002977,0.0,0.0,0.0,0.0,1.109438863503171,0.9945410167130515,1.0018388212260176
"(3, 2)",-0.829,-0.69049,0.2504175185237074,0.15050431181159155,-0.45792858082913784,-0.268650633325443,-0.13860029404773183,-0.20443112504549835,2.218975070806007,0.0,0.0,0.16014057036698834,-0.03381560380410189,0.0,0.0,0.1984628015002161,0.2665609623857152,-0.37361791978581244,-0.044829741161441033,0.12229474543281552
"(3, 3)",-1.1149775836075044,-0.7021949301821414,-0.8089211896094096,-0.7568170717236932,-0.6481128332971531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, 4)",-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
